rrad,meanrflux,stdrflux,meantotf
264.0,0.0,0.0,5.388972359315935e+37
265.0,0.0,0.0,5.388972359315935e+37
266.0,0.0,0.0,5.388972359315935e+37
267.0,0.0,0.0,5.388972359315935e+37
268.0,0.0,0.0,5.388972359315935e+37
269.0,0.0,0.0,5.388972359315935e+37
270.0,0.0,0.0,5.388972359315935e+37
271.0,0.0,0.0,5.388972359315935e+37
272.0,0.0,0.0,5.388972359315935e+37
273.0,0.0,0.0,5.388972359315935e+37
274.0,0.0,0.0,5.388972359315935e+37
275.0,0.0,0.0,5.388972359315935e+37
276.0,0.0,0.0,5.388972359315935e+37
277.0,0.0,0.0,5.388972359315935e+37
278.0,0.0,0.0,5.388972359315935e+37
279.0,0.0,0.0,5.388972359315935e+37
280.0,0.0,0.0,5.388972359315935e+37
281.0,0.0,0.0,5.388972359315935e+37
282.0,0.0,0.0,5.388972359315935e+37
283.0,0.0,0.0,5.388972359315935e+37
284.0,0.0,0.0,5.388972359315935e+37
285.0,0.0,0.0,5.388972359315935e+37
286.0,0.0,0.0,5.388972359315935e+37
287.0,0.0,0.0,5.388972359315935e+37
288.0,0.0,0.0,5.388972359315935e+37
289.0,0.0,0.0,5.388972359315935e+37
290.0,0.0,0.0,5.388972359315935e+37
291.0,0.0,0.0,5.388972359315935e+37
292.0,0.0,0.0,5.388972359315935e+37
293.0,0.0,0.0,5.388972359315935e+37
294.0,0.0,0.0,5.388972359315935e+37
295.0,0.0,0.0,5.388972359315935e+37
296.0,0.0,0.0,5.388972359315935e+37
297.0,0.0,0.0,5.388972359315935e+37
298.0,0.0,0.0,5.388972359315935e+37
299.0,0.0,0.0,5.388972359315935e+37
300.0,0.0,0.0,5.388972359315935e+37
